bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b4_V3,b4,V3,Cingulum_Frontal_Parahippocampal_R : Span,Span,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V4,b4,V4,Cingulum_Frontal_Parahippocampal_R : Curl,Curl,Cingulum_Frontal_Parahippocampal_R,lgrg,0.092453765
b4_V5,b4,V5,Cingulum_Frontal_Parahippocampal_R : Elongation,Elongation,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V6,b4,V6,Cingulum_Frontal_Parahippocampal_R : Diameter,Diameter,Cingulum_Frontal_Parahippocampal_R,lgrg,0.101844463
b4_V7,b4,V7,Cingulum_Frontal_Parahippocampal_R : Volume,Volume,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V8,b4,V8,Cingulum_Frontal_Parahippocampal_R : TrunkVolume,TrunkVolume,Cingulum_Frontal_Parahippocampal_R,lgrg,0.130300072
b4_V9,b4,V9,Cingulum_Frontal_Parahippocampal_R : BranchVolume,BranchVolume,Cingulum_Frontal_Parahippocampal_R,lgrg,0.098942795
b4_V10,b4,V10,Cingulum_Frontal_Parahippocampal_R : TotalSurfaceArea,TotalSurfaceArea,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V11,b4,V11,Cingulum_Frontal_Parahippocampal_R : TotalRadiusOfEndRegions,TotalRadiusOfEndRegions,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V12,b4,V12,Cingulum_Frontal_Parahippocampal_R : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V13,b4,V13,Cingulum_Frontal_Parahippocampal_R : Irregularity,Irregularity,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V14,b4,V14,Cingulum_Frontal_Parahippocampal_R : AreaOfEndRegion1,AreaOfEndRegion1,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V15,b4,V15,Cingulum_Frontal_Parahippocampal_R : RadiusOfEndRegion1,RadiusOfEndRegion1,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V16,b4,V16,Cingulum_Frontal_Parahippocampal_R : IrregularityofEndRegion1,IrregularityofEndRegion1,Cingulum_Frontal_Parahippocampal_R,lgrg,0.082564572
b4_V17,b4,V17,Cingulum_Frontal_Parahippocampal_R : AreaOfEndRegion2,AreaOfEndRegion2,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V18,b4,V18,Cingulum_Frontal_Parahippocampal_R : RadiusOfEndRegion2,RadiusOfEndRegion2,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V19,b4,V19,Cingulum_Frontal_Parahippocampal_R : IrregularityofEndRegion2,IrregularityofEndRegion2,Cingulum_Frontal_Parahippocampal_R,lgrg,0.104892654
b4_V20,b4,V20,Cingulum_Frontal_Parahippocampal_R : qa,qa,Cingulum_Frontal_Parahippocampal_R,lgrg,0.104871285
b4_V21,b4,V21,Cingulum_Frontal_Parahippocampal_R : nqa,nqa,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099992424
b4_V22,b4,V22,Cingulum_Frontal_Parahippocampal_R : dti_fa,dti_fa,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V23,b4,V23,Cingulum_Frontal_Parahippocampal_R : md,md,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V24,b4,V24,Cingulum_Frontal_Parahippocampal_R : ad,ad,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V25,b4,V25,Cingulum_Frontal_Parahippocampal_R : rd,rd,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V26,b4,V26,Cingulum_Frontal_Parahippocampal_R : gfa,gfa,Cingulum_Frontal_Parahippocampal_R,lgrg,0.13060319
b4_V27,b4,V27,Cingulum_Frontal_Parahippocampal_R : iso,iso,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V28,b4,V28,Cingulum_Frontal_Parahippocampal_R : rdi,rdi,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V29,b4,V29,Cingulum_Frontal_Parahippocampal_R : nrdi02L,nrdi02L,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V30,b4,V30,Cingulum_Frontal_Parahippocampal_R : nrdi04L,nrdi04L,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b4_V31,b4,V31,Cingulum_Frontal_Parahippocampal_R : nrdi06L,nrdi06L,Cingulum_Frontal_Parahippocampal_R,lgrg,0.099552348
b5_V1,b5,V1,Cingulum_Frontal_Parietal_L : NumberOfTracts,NumberOfTracts,Cingulum_Frontal_Parietal_L,lgrg,0.110147946
b5_V2,b5,V2,Cingulum_Frontal_Parietal_L : MeanLength,MeanLength,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V3,b5,V3,Cingulum_Frontal_Parietal_L : Span,Span,Cingulum_Frontal_Parietal_L,lgrg,0.103240263
b5_V4,b5,V4,Cingulum_Frontal_Parietal_L : Curl,Curl,Cingulum_Frontal_Parietal_L,lgrg,0.093608727
b5_V5,b5,V5,Cingulum_Frontal_Parietal_L : Elongation,Elongation,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V6,b5,V6,Cingulum_Frontal_Parietal_L : Diameter,Diameter,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V7,b5,V7,Cingulum_Frontal_Parietal_L : Volume,Volume,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V8,b5,V8,Cingulum_Frontal_Parietal_L : TrunkVolume,TrunkVolume,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V9,b5,V9,Cingulum_Frontal_Parietal_L : BranchVolume,BranchVolume,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V10,b5,V10,Cingulum_Frontal_Parietal_L : TotalSurfaceArea,TotalSurfaceArea,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V11,b5,V11,Cingulum_Frontal_Parietal_L : TotalRadiusOfEndRegions,TotalRadiusOfEndRegions,Cingulum_Frontal_Parietal_L,lgrg,0.097360652
b5_V12,b5,V12,Cingulum_Frontal_Parietal_L : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V13,b5,V13,Cingulum_Frontal_Parietal_L : Irregularity,Irregularity,Cingulum_Frontal_Parietal_L,lgrg,0.096261619
b5_V14,b5,V14,Cingulum_Frontal_Parietal_L : AreaOfEndRegion1,AreaOfEndRegion1,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V15,b5,V15,Cingulum_Frontal_Parietal_L : RadiusOfEndRegion1,RadiusOfEndRegion1,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V16,b5,V16,Cingulum_Frontal_Parietal_L : IrregularityofEndRegion1,IrregularityofEndRegion1,Cingulum_Frontal_Parietal_L,lgrg,0.052170904
b5_V17,b5,V17,Cingulum_Frontal_Parietal_L : AreaOfEndRegion2,AreaOfEndRegion2,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V18,b5,V18,Cingulum_Frontal_Parietal_L : RadiusOfEndRegion2,RadiusOfEndRegion2,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V19,b5,V19,Cingulum_Frontal_Parietal_L : IrregularityofEndRegion2,IrregularityofEndRegion2,Cingulum_Frontal_Parietal_L,lgrg,0.13972201
b5_V20,b5,V20,Cingulum_Frontal_Parietal_L : qa,qa,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V21,b5,V21,Cingulum_Frontal_Parietal_L : nqa,nqa,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V22,b5,V22,Cingulum_Frontal_Parietal_L : dti_fa,dti_fa,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V23,b5,V23,Cingulum_Frontal_Parietal_L : md,md,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V24,b5,V24,Cingulum_Frontal_Parietal_L : ad,ad,Cingulum_Frontal_Parietal_L,lgrg,0.093012024
b5_V25,b5,V25,Cingulum_Frontal_Parietal_L : rd,rd,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V26,b5,V26,Cingulum_Frontal_Parietal_L : gfa,gfa,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V27,b5,V27,Cingulum_Frontal_Parietal_L : iso,iso,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V28,b5,V28,Cingulum_Frontal_Parietal_L : rdi,rdi,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V29,b5,V29,Cingulum_Frontal_Parietal_L : nrdi02L,nrdi02L,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V30,b5,V30,Cingulum_Frontal_Parietal_L : nrdi04L,nrdi04L,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b5_V31,b5,V31,Cingulum_Frontal_Parietal_L : nrdi06L,nrdi06L,Cingulum_Frontal_Parietal_L,lgrg,0.099552348
b6_V1,b6,V1,Cingulum_Frontal_Parietal_R : NumberOfTracts,NumberOfTracts,Cingulum_Frontal_Parietal_R,lgrg,0.099562275
b6_V2,b6,V2,Cingulum_Frontal_Parietal_R : MeanLength,MeanLength,Cingulum_Frontal_Parietal_R,lgrg,0.124111534
b6_V3,b6,V3,Cingulum_Frontal_Parietal_R : Span,Span,Cingulum_Frontal_Parietal_R,lgrg,0.108010282
b6_V4,b6,V4,Cingulum_Frontal_Parietal_R : Curl,Curl,Cingulum_Frontal_Parietal_R,lgrg,0.107140855
b6_V5,b6,V5,Cingulum_Frontal_Parietal_R : Elongation,Elongation,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V6,b6,V6,Cingulum_Frontal_Parietal_R : Diameter,Diameter,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V7,b6,V7,Cingulum_Frontal_Parietal_R : Volume,Volume,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V8,b6,V8,Cingulum_Frontal_Parietal_R : TrunkVolume,TrunkVolume,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V9,b6,V9,Cingulum_Frontal_Parietal_R : BranchVolume,BranchVolume,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V10,b6,V10,Cingulum_Frontal_Parietal_R : TotalSurfaceArea,TotalSurfaceArea,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
b6_V11,b6,V11,Cingulum_Frontal_Parietal_R : TotalRadiusOfEndRegions,TotalRadiusOfEndRegions,Cingulum_Frontal_Parietal_R,lgrg,0.074811027
b6_V12,b6,V12,Cingulum_Frontal_Parietal_R : TotalAreaOfEndRegions,TotalAreaOfEndRegions,Cingulum_Frontal_Parietal_R,lgrg,0.101898907
b6_V13,b6,V13,Cingulum_Frontal_Parietal_R : Irregularity,Irregularity,Cingulum_Frontal_Parietal_R,lgrg,0.099552348
