bundle_measure_abr,bundle_abr,measure_abr,bundle_measure,measure,bundle,model,importance
b24_V27,b24,V27,Inferior_Longitudinal_Fasciculus_L : iso,iso,Inferior_Longitudinal_Fasciculus_L,lgrg,0
b14_V24,b14,V24,Corpus_Callosum_Forceps_Major : ad,ad,Corpus_Callosum_Forceps_Major,lgrg,0
b49_V25,b49,V25,Vertical_Occipital_Fasciculus_R : rd,rd,Vertical_Occipital_Fasciculus_R,lgrg,9.07785
b35_V24,b35,V24,Superior_Longitudinal_Fasciculus2_R : ad,ad,Superior_Longitudinal_Fasciculus2_R,lgrg,0
b4_V23,b4,V23,Cingulum_Frontal_Parahippocampal_R : md,md,Cingulum_Frontal_Parahippocampal_R,lgrg,0
b13_V28,b13,V28,Corpus_Callosum_Body : rdi,rdi,Corpus_Callosum_Body,lgrg,0
b16_V11,b16,V11,Corticospinal_Tract_L : TotalRadiusOfEndRegions,TotalRadiusOfEndRegions,Corticospinal_Tract_L,lgrg,0
b40_V4,b40,V4,Thalamic_Radiation_Inferior_L : Curl,Curl,Thalamic_Radiation_Inferior_L,lgrg,0
b43_V14,b43,V14,Thalamic_Radiation_Posterior_R : AreaOfEndRegion1,AreaOfEndRegion1,Thalamic_Radiation_Posterior_R,lgrg,0
b15_V27,b15,V27,Corpus_Callosum_Forceps_Minor : iso,iso,Corpus_Callosum_Forceps_Minor,lgrg,0
b6_V18,b6,V18,Cingulum_Frontal_Parietal_R : RadiusOfEndRegion2,RadiusOfEndRegion2,Cingulum_Frontal_Parietal_R,lgrg,0
b26_V16,b26,V16,Middle_Longitudinal_Fasciculus_L : IrregularityofEndRegion1,IrregularityofEndRegion1,Middle_Longitudinal_Fasciculus_L,lgrg,0
b6_V28,b6,V28,Cingulum_Frontal_Parietal_R : rdi,rdi,Cingulum_Frontal_Parietal_R,lgrg,0
b29_V28,b29,V28,Optic_Radiation_R : rdi,rdi,Optic_Radiation_R,lgrg,0
b7_V6,b7,V6,Cingulum_Parahippocampal_L : Diameter,Diameter,Cingulum_Parahippocampal_L,lgrg,0
b29_V2,b29,V2,Optic_Radiation_R : MeanLength,MeanLength,Optic_Radiation_R,lgrg,0
